OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, formula 
mr030_wp1, comb, central, 0, -2.4, 2.4, 500, 3000, "1.00"
mr030_wp1, comb, up     , 0, -2.4, 2.4, 500, 3000, "1.00+0.25*(1+(x>=3000))*(1+(x<=500))"
mr030_wp1, comb, down   , 0, -2.4, 2.4, 500, 3000, "1.00-0.25*(1+(x>=3000))*(1+(x<=500))"
mr030_wp1, comb, central, 2, -2.4, 2.4, 500, 3000, "1.02"
mr030_wp1, comb, up     , 2, -2.4, 2.4, 500, 3000, "1.02+0.07*(1+(x>=3000))*(1+(x<=500))"
mr030_wp1, comb, down   , 2, -2.4, 2.4, 500, 3000, "1.02-0.07*(1+(x>=3000))*(1+(x<=500))"
mr010_wp1, comb, central, 0, -2.4, 2.4, 500, 3000, "1.00"
mr010_wp1, comb, up     , 0, -2.4, 2.4, 500, 3000, "1.00+0.25*(1+(x>=3000))*(1+(x<=500))"
mr010_wp1, comb, down   , 0, -2.4, 2.4, 500, 3000, "1.00-0.25*(1+(x>=3000))*(1+(x<=500))"
mr010_wp1, comb, central, 2, -2.4, 2.4, 500, 3000, "1.02"
mr010_wp1, comb, up     , 2, -2.4, 2.4, 500, 3000, "1.02+0.07*(1+(x>=3000))*(1+(x<=500))"
mr010_wp1, comb, down   , 2, -2.4, 2.4, 500, 3000, "1.02-0.07*(1+(x>=3000))*(1+(x<=500))"
